@relation activity_recognition_labeled-weka.filters.unsupervised.attribute.Remove-R3-32-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R4-6-weka.filters.unsupervised.attribute.Remove-R10

@attribute XAVG numeric
@attribute YAVG numeric
@attribute ZAVG numeric
@attribute XABSOLDEV numeric
@attribute YABSOLDEV numeric
@attribute ZABSOLDEV numeric
@attribute XSTANDDEV numeric
@attribute YSTANDDEV numeric
@attribute ZSTANDDEV numeric
@attribute class {Walking,Jogging,Upstairs,Downstairs,Sitting,Standing}

@data
0,8.4,1.76,3.29,7.21,4,4.05,8.17,4.05,Jogging
0,7.62,1.43,4.23,6.88,4.05,5.43,8.19,5.43,Jogging
0,7.77,2.39,4.18,6.89,4.07,5.55,8.19,5.55,Jogging
0,9.57,0.49,2.26,4.13,2.49,2.87,4.95,2.87,Walking
0,9.76,0.51,2.29,3.94,2.41,3.08,4.64,3.08,Walking
0,7.73,0.31,2,3.39,1.94,3.13,4.95,3.13,Walking
0,9.2,1.19,1.56,2.55,1.72,2.09,3.2,2.09,Upstairs
0,9.3,1.4,1.84,2.69,1.41,2.22,3.35,2.22,Upstairs
0,9.06,1.38,2.26,2.7,1.3,2.68,3.4,2.68,Upstairs
0,0.39,-0.01,0.07,0.37,0.03,1.85,9.34,1.85,Upstairs
0,7.93,2.69,1.64,2.77,2.39,2.6,3.6,2.6,Downstairs
0,8.99,2.04,1.62,3.03,1.49,1.98,3.74,1.98,Downstairs
0,9.16,2.2,1.79,2.98,1.58,2.24,3.7,2.24,Downstairs
0,0.38,0.08,0.07,0.36,0.07,1.97,9.96,1.97,Downstairs
0,8.83,2.38,1.59,2.71,1.5,2.05,3.4,2.05,Upstairs
0,8.57,2.39,2.14,2.93,1.71,2.78,3.62,2.78,Upstairs
0,5.7,1.54,1.44,2.63,0.93,2.75,4.86,2.75,Upstairs
0,9.18,2.32,1.45,3.03,1.61,1.82,3.82,1.82,Downstairs
0,9.17,2.3,1.69,3.14,1.81,2.11,3.84,2.11,Downstairs
0,5.33,1.25,1.14,2.39,1.05,2.33,4.96,2.33,Downstairs
0,9.02,2.23,1.21,2.77,1.39,1.55,3.36,1.55,Upstairs
0,8.88,2.41,1.5,2.96,1.68,2.03,3.73,2.03,Upstairs
0,6.15,1.97,2,2.51,1.25,3.42,4.28,3.42,Upstairs
0,9,2.58,1.66,3.27,1.76,2.13,3.95,2.13,Downstairs
0,9.15,2.58,1.86,3.28,2.03,2.41,4.09,2.41,Downstairs
0,6.74,1.74,1.3,2.58,1.51,2.21,4.59,2.21,Downstairs
0,9.08,2.42,1.66,3.09,1.7,2.19,3.78,2.19,Upstairs
0,8.65,2.59,1.79,3.23,1.94,2.32,3.9,2.32,Upstairs
0,5.7,1.69,1.22,2.56,1,2.58,5.04,2.58,Upstairs
0,8.93,2.42,1.67,3.2,1.88,2.27,4.05,2.27,Downstairs
0,8.67,2.03,1.52,3.31,2.03,1.94,4.15,1.94,Downstairs
0,5,1.33,0.91,2.6,1.18,2.23,6.15,2.23,Downstairs
0,8.94,1.69,4.57,6.5,3.94,5.65,7.69,5.65,Jogging
0,10.02,1.52,5.7,6.37,3.73,6.82,7.58,6.82,Jogging
0,6.97,1.42,4.23,5.49,3.18,6.55,8.2,6.55,Jogging
0,9.59,0.21,2.55,4.17,2.27,3.04,5.02,3.04,Walking
0,9.64,0.21,2.64,3.86,2.41,3.12,4.69,3.12,Walking
0,8.49,0.53,2.29,3.78,2.28,3.09,4.96,3.09,Walking
0,9.7,0.69,4.6,6.35,3.72,5.88,7.73,5.88,Jogging
0,10.48,0.76,6.06,6.6,3.33,7.15,7.8,7.15,Jogging
0,10.04,0.72,6.24,6.73,3.36,7.32,7.9,7.32,Jogging
0,9.41,0.22,6.65,7.05,4.12,7.66,8.49,7.66,Jogging
0,10.18,0.96,6.03,6.45,3.43,7.3,7.63,7.3,Jogging
0,9.47,0.91,6.05,6.71,3.18,7.32,7.96,7.32,Jogging
0,10.45,0.68,6.54,6.46,3.44,7.87,7.85,7.87,Jogging
0,9.04,0.95,6.44,6.81,3.29,7.59,7.93,7.59,Jogging
0,9.81,0.44,5.29,5.65,3.09,6.91,7.54,6.91,Jogging
0,9.92,-0.06,2.04,2.4,1.6,2.8,3.2,2.8,Walking
0,9.71,-0.06,2.98,2.82,1.74,3.51,3.35,3.51,Walking
0,9.69,-0.28,2.96,2.94,1.82,3.58,3.52,3.58,Walking
0,9.63,-0.15,2.84,2.83,1.92,3.53,3.44,3.53,Walking
0,9.75,-0.29,2.85,2.83,1.89,3.51,3.38,3.51,Walking
0,9.67,-0.09,2.85,2.64,1.93,3.52,3.26,3.52,Walking
0,9.7,-0.22,2.79,2.79,1.86,3.5,3.38,3.5,Walking
0,9.76,-0.21,2.82,2.68,1.85,3.52,3.27,3.52,Walking
0,9.79,-0.21,2.86,2.79,1.8,3.49,3.4,3.49,Walking
0,9.7,-0.11,2.87,2.71,1.9,3.56,3.3,3.56,Walking
0,9.74,-0.02,2.81,2.63,1.87,3.38,3.16,3.38,Walking
0,9.58,-0.13,2.96,2.66,1.79,3.51,3.22,3.51,Walking
0,9.76,-0.12,2.97,2.77,1.87,3.58,3.37,3.58,Walking
0,9.76,-0.18,2.99,2.83,1.92,3.65,3.46,3.65,Walking
0,8.6,0.13,2.51,2.35,1.51,3.44,3.32,3.44,Walking
0,9.39,-0.17,2.98,5.2,2.19,3.9,6.73,3.9,Jogging
0,8.72,0.04,4.82,7.08,2.77,5.69,8.11,5.69,Jogging
0,8.76,-0.02,4.96,7.17,2.68,5.98,8.14,5.98,Jogging
0,8.23,-0.35,5.41,7.28,3.06,6.56,8.24,6.56,Jogging
0,8.84,-0.18,5.5,6.29,3.01,6.52,7.57,6.52,Jogging
0,8.17,0.3,4.85,6.96,2.8,5.87,8.1,5.87,Jogging
0,8.41,0.19,4.97,7.27,2.73,5.98,8.4,5.98,Jogging
0,7.59,-0.19,4.86,6.7,2.77,5.83,7.68,5.83,Jogging
0,8.05,0.29,5.25,6.7,2.51,6.16,7.77,6.16,Jogging
0,8.56,0.43,5.42,6.82,2.78,6.41,7.88,6.41,Jogging
0,8.73,0.53,5.55,6.49,2.54,6.48,7.56,6.48,Jogging
0,8.97,0.15,5.73,6.46,2.4,6.56,7.53,6.56,Jogging
0,8.31,0.43,5.73,6.73,2.58,6.56,7.86,6.56,Jogging
0,8.41,0.28,5.28,6.36,2.7,6,7.43,6,Jogging
0,3.75,0.12,1.84,2.88,1.02,5.11,7.62,5.11,Jogging
0,8.81,-1.06,5.82,3.16,2.74,7,3.94,7,Walking
0,8.45,-0.76,6.47,3.32,2.83,7.77,4.14,7.77,Walking
0,8.43,-1.03,6.26,3,3,7.46,3.73,7.46,Walking
0,8.48,-0.92,6.6,3.15,2.82,8.05,3.91,8.05,Walking
0,8.65,-1.28,6.31,3.13,2.76,7.49,4.03,7.49,Walking
0,8.16,-1,6.51,3.17,2.59,7.62,3.94,7.62,Walking
0,8.29,-1.02,6.87,2.99,2.8,8.15,3.82,8.15,Walking
0,8.09,-0.74,6.92,3.12,2.64,8.15,3.82,8.15,Walking
0,8.49,-1.02,6.47,2.99,2.62,7.61,3.73,7.61,Walking
0,9.72,0.31,4.29,3.76,2.9,5.6,4.53,5.6,Walking
0,9.96,0.14,4.22,3.44,3.31,5.62,4.2,5.62,Walking
0,10.02,0.27,4.36,3.8,2.98,5.77,4.51,5.77,Walking
0,9.8,0.36,4.59,3.62,3.02,5.92,4.47,5.92,Walking
0,10.12,0.14,4.29,3.63,2.86,5.72,4.43,5.72,Walking
0,9.92,0.17,4.45,3.63,2.75,5.83,4.36,5.83,Walking
0,9.95,0.2,4.44,3.44,2.96,5.73,4.17,5.73,Walking
0,9.92,0.32,4.49,3.42,2.72,5.77,4.17,5.77,Walking
0,10.06,0.29,4.45,3.38,2.87,5.77,4.13,5.77,Walking
0,9.71,0.57,4.79,3.39,2.88,6.12,4.16,6.12,Walking
0,9.92,0.28,4.39,3.11,2.74,5.64,3.86,5.64,Walking
0,10.06,0.41,4.57,3.34,2.94,5.85,4.13,5.85,Walking
0,9.92,0.29,4.59,3.58,2.89,5.9,4.35,5.9,Walking
0,9.85,0.32,4.53,3.43,2.76,5.79,4.25,5.79,Walking
0,9.87,0.22,4.41,3.33,2.7,5.64,4.14,5.64,Walking
0,9.86,0.27,4.35,3.49,2.68,5.69,4.29,5.69,Walking
0,10,0.14,4.57,3.33,2.75,5.85,4.03,5.85,Walking
0,9.8,0.25,4.73,3.67,3.03,5.95,4.43,5.95,Walking
0,9.98,0.18,4.68,3.54,2.9,5.98,4.29,5.98,Walking
0,9.77,0.21,4.66,3.44,2.8,5.88,4.16,5.88,Walking
0,9.91,0.18,4.47,3.29,2.8,5.7,4.06,5.7,Walking
0,9.62,0.34,4.56,3.6,3,5.77,4.4,5.77,Walking
0,9.87,0.32,4.55,3.51,2.9,5.82,4.29,5.82,Walking
0,5.5,0.24,2.25,2.77,1.67,5.55,6.11,5.55,Walking
0,8.18,0.52,10.31,7.26,4.13,11.93,8.14,11.93,Jogging
0,6.76,-0.29,10.23,7.4,3.23,11.94,8.51,11.94,Jogging
0,6.45,0.03,10.61,7.83,3.89,11.96,8.7,11.96,Jogging
0,7.71,0.3,11.13,8.15,4.81,12.78,8.84,12.78,Jogging
0,8.26,-0.19,11.59,8.19,3.88,12.94,8.9,12.94,Jogging
0,8.39,-0.4,10.69,7.97,3.88,12.36,8.74,12.36,Jogging
